Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
01/02/2016,2016,1,USYD,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,2,Mon,"AW, KW",,42401_USYD_EXCEL101
02/02/2016,2016,1,USYD,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,2,Tue,"AW, KW",,42402_USYD_EXCEL101
03/02/2016,2016,1,ResBaz 2016,REFINE101,20853623750_ResBaz 2016_REFINE101,20853623750,Processed,10,5,InPerson,0.5,,,,Open Refine,2,Wed,,,42403_ResBaz 2016_REFINE101
03/02/2016,2016,1,ResBaz 2016,REGEX101,20853648825_ResBaz 2016_REGEX101,20853648825,Processed,12,7,InPerson,0.5,,,,Regular Expressions,2,Wed,,,42403_ResBaz 2016_REGEX101
03/02/2016,2016,1,USYD,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions,2,Wed,"JB, KW",,42403_USYD_REGEX101
03/02/2016,2016,1,USYD,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine,2,Wed,"JB, KW",,42403_USYD_REFINE101
09/02/2016,2016,1,UON,REGEX101,20847915677_UON_REGEX101,20847915677,Processed,26,19,InPerson,0.5,,,,Regular Expressions,2,Tue,"RB, KW",,42409_UON_REGEX101
10/02/2016,2016,1,UON,EXCEL101,20848298823_UON_EXCEL101,20848298823,Processed,30,25,InPerson,1,,,,Excel,2,Wed,"RB, KW",,42410_UON_EXCEL101
11/02/2016,2016,1,UON,REFINE101,20848401129_UON_REFINE101,20848401129,Processed,22,15,InPerson,0.5,,,,Open Refine,2,Thu,"RB, KW",,42411_UON_REFINE101
11/02/2016,2016,1,UON,GFT101,20850560588_UON_GFT101,20850560588,Processed,28,12,InPerson,0.5,,,,Google Fusion Tables,2,Thu,"RB, KW",,42411_UON_GFT101
22/02/2016,2016,2,SCU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel,2,Mon,FS,,42422_SCU_EXCEL101
23/02/2016,2016,2,SCU,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT,2,Tue,FS,,42423_SCU_RDMT001
23/02/2016,2016,1,USYD,PYTHON101,,21071753181,Processed,29,13,InPerson,1,,,,Python,2,Tue,,,42423_USYD_PYTHON101
