Timestamp,On what day did you attend the course?,Which course did you attend?,Where did you attend the course?,How worthwhile was attending the course for you?,Did you feel that the training course atmosphere was welcoming?,Did you feel comfortable interacting with the instructors?,Was the course content new for you?,Do you think that the instructors were knowledgable about the material being taught?,Do you think that the instructors gave clear answers to questions?,Do you think that the instructors were good communicators?,How likely is it that you will use this technology more in your research?,Do you feel confident to apply what you have learnt at the training?,Which parts of the course did you find most useful? Why?,Which parts of the course did you find least useful? Why?,How likely is it that you would recommend Intersect training courses to colleagues?,Do you have any other suggestions or feedback on this course or Intersect Training in general?,Delivery,Primary Trainers,Uni_short,Course_code,Role,Year,Quarter,Month,Week,Day,Registered,Attended,Course_type,Duration,Tool,Unique_ID
25/01/2018 15:27:08,24/01/2018,Big Data Research,University of Newcastle,10,,,9,10,,,9,,"The presented information was informative, some information was fascinatingly interesting",The room was not conducive for learning,10,May be a cooler room next time,InPerson,RB,UON,BIGDATA001,,2018,1,1,4,Wed,11,8,,0.5,,43124_UON_BIGDATA001
28/01/2018 12:51:32,24/01/2018,Big Data Research,University of Newcastle,10,,,7,10,,,10,,Big data techniques knowledge driven and data driven.Well explained with examples.,I think there was nothing as least useful in the course.,10,No,InPerson,RB,UON,BIGDATA001,,2018,1,1,4,Wed,11,8,,0.5,,43124_UON_BIGDATA001
30/01/2018 12:37:24,30/01/2018,Using Databases and SQL,University of Newcastle,7,,,6,7,,,7,,Understanding the practicality of SQL,NA,8,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:37:50,30/01/2018,Using Databases and SQL,University of Newcastle,6,,,10,6,,,7,,,,7,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:37:55,30/01/2018,Using Databases and SQL,University of Newcastle,8,,,8,8,,,8,,,,8,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:38:03,30/01/2018,Using Databases and SQL,University of Newcastle,10,,,10,10,,,10,,Hands on use of VM,NIL,10,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:38:10,30/01/2018,Using Databases and SQL,University of Newcastle,10,,,6,8,,,8,,Joining Tables,Select data,10,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:38:15,30/01/2018,Using Databases and SQL,University of Newcastle,8,,,10,10,,,10,,Everything,Everything,10,More time needed in running the same workshop,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:38:23,30/01/2018,Using Databases and SQL,University of Newcastle,10,,,10,10,,,8,,aggregation of data,all good,10,no,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:38:35,30/01/2018,Using Databases and SQL,University of Newcastle,5,,,9,10,,,5,,course coordinator  was very clear,,10,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:09,30/01/2018,Using Databases and SQL,University of Newcastle,5,,,9,5,,,9,,examples,,10,"This SQL course needs a whole day training, half day workshop was not enough",InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:15,30/01/2018,Using Databases and SQL,University of Newcastle,4,,,10,7,,,6,,,,5,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:15,30/01/2018,Using Databases and SQL,University of Newcastle,10,,,10,10,,,8,,,,10,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:20,30/01/2018,Using Databases and SQL,University of Newcastle,8,,,9,8,,,8,,Combining data,None,8,None,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:34,30/01/2018,Using Databases and SQL,University of Newcastle,7,,,10,10,,,7,,Aggregation and combining tables ,,9,,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:39:46,30/01/2018,Using Databases and SQL,University of Newcastle,3,,,10,9,,,2,,"access to sql, swcarpentry site","no overall context about why, nothing to do with longitudinal or how to create from primary data or rationale for",3,Ask what students need,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
30/01/2018 12:40:12,30/01/2018,Using Databases and SQL,University of Newcastle,6,,,8,7,,,9,,practical sessions,too little to explain to first time users,7,no,InPerson,RB,UON,SQL101,,2018,1,1,5,Tue,30,27,,0.5,SQL,43130_UON_SQL101
06/02/2018 15:03:20,06/02/2018,Intro to Unix,The University of Sydney,10,,,10,9,,,10,,First section which was really the introduction to the platform Unix,the afternoon session where the second lecturer went really fast ,9,Slower explanation by either writing the whole code then explain or vice versa,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:11:09,06/02/2018,Intro to Unix,The University of Sydney,8,,,9,7,,,8,,,,8,,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:11:45,06/02/2018,Intro to Unix,The University of Sydney,7,,,9,7,,,9,,It was all quite useful.,,7,More time should be spent on scripts,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:11:47,06/02/2018,Intro to Unix,The University of Sydney,10,,,7,9,,,10,,Writing for loops and bash scripts,,10,,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:11:55,06/02/2018,Intro to Unix,The University of Sydney,10,,,6,10,,,10,,,None,10,,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:12:51,06/02/2018,Intro to Unix,The University of Sydney,7,,,5,8,,,8,,Learn and revise unix,,7,It will be good if had an advanced course in Matlab,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:15:00,06/02/2018,Intro to Unix,The University of Sydney,6,,,6,8,,,10,,,,7,,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
06/02/2018 16:17:21,06/02/2018,Intro to Unix,The University of Sydney,8,,,4,7,,,8,,,Might be better to plan the tasks a bit more in advance.,8,Might be better to plan the tasks a bit more in advance. These are the best way to learn how to use the tools once they've been demonstrated.,InPerson,"IC, AG",USYD,UNIX101,,2018,1,2,6,Tue,19,13,,0.5,Unix,43137_USYD_UNIX101
08/02/2018 13:22:52,08/02/2018,Research Data Management,Western Sydney University,9,,,6,5,,,10,,"Details about cloustor, file naming and folder organisation",I thought the description of metadata could have been clearer,8,,InPerson,DG,WSU,RDMT001,,2018,1,2,6,Thu,21,16,,0.5,RDMT,43139_WSU_RDMT001
08/02/2018 15:43:36,08/02/2018,Research Data Management,Western Sydney University,6,,,4,9,,,9,,"Cloudstor. It is good to know there is a official online storage place with 100GB free to use. 
ResearchDirect. It provides model with questions and sections leading a researcher to make research data management planning. ",,8,"Provide an example to show to make data management planning before, during and after a project. ",InPerson,DG,WSU,RDMT001,,2018,1,2,6,Thu,21,16,,0.5,RDMT,43139_WSU_RDMT001
08/02/2018 17:39:40,08/02/2018,Research Data Management,Western Sydney University,8,,,5,6,,,8,,shared data and limitations around it,data management ,8,,InPerson,DG,WSU,RDMT001,,2018,1,2,6,Thu,21,16,,0.5,RDMT,43139_WSU_RDMT001
08/02/2018 21:09:20,08/02/2018,Research Data Management,Western Sydney University,9,,,8,8,,,8,,metadata. This is what I seldom do in my data management.,,8,,InPerson,DG,WSU,RDMT001,,2018,1,2,6,Thu,21,16,,0.5,RDMT,43139_WSU_RDMT001
13/02/2018 16:41:53,13/02/2018,Intro to Unix,University of Newcastle,7,,,9,9,,,6,,,,7,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:15,13/02/2018,Intro to Unix,University of Newcastle,8,,,9,10,,,8,,,,9,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:37,13/02/2018,Intro to Unix,University of Newcastle,10,,,10,9,,,8,,,,9,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:37,13/02/2018,Intro to Unix,University of Newcastle,10,,,6,10,,,10,,averything,,10,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:41,13/02/2018,Intro to Unix,University of Newcastle,9,,,7,8,,,8,,loops,pipes,8,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:46,13/02/2018,Intro to Unix,University of Newcastle,10,,,10,6,,,10,,All - all was new,None,10,No,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
13/02/2018 17:04:49,13/02/2018,Intro to Unix,University of Newcastle,8,,,10,10,,,8,,"Almost all of the course was useful, as the late sections which have more functionality are built from the earlier sections which were a bit more basic",,10,,InPerson,"IC, RB",UON,UNIX101,,2018,1,2,7,Tue,28,28,,0.5,Unix,43144_UON_UNIX101
