                                                                                                                                                          ,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
18/03/2016,2016,1,UC,PYTHON101,22431045862_UC_PYTHON101,22431045862,Processed,0,0,InPerson,1,,,,Python,3,Fri,,,
29/06/2016,2016,2,UC,EXCEL101,26089863484_UC_EXCEL101,26089863484,Processed,6,6,InPerson,1,,,,Excel,6,Wed,LS,,
11/07/2016,2016,3,UC,REFINE101,26089864487_UC_REFINE101,26089864487,Processed,6,5,InPerson,0.5,,,,Open Refine,7,Mon,LS,,
6/09/2016,2016,3,UC,PYTHON101,27248398694_UC_PYTHON101,27248398694,Processed,10,5,InPerson,1,,,,Python,9,Tue,LS,,
20/02/2017,2017,1,UC,EXCEL101,31623341265_UC_EXCEL101,31623341265,Processed,9,6,InPerson,1,,,,Excel,2,Mon,LS,,
28/02/2017,2017,1,UC,SQL101,31623481685_UC_SQL101,31623481685,Processed,9,9,InPerson,0.5,,,,SQL,2,Tue,LS,,
16/03/2017,2017,1,UC,UNIX101,31623553901_UC_UNIX101,31623553901,Processed,9,5,InPerson,0.5,,,,Unix,3,Thu,LS,,
20/03/2017,2017,1,UC,EXCEL101,32143386735_UC_EXCEL101,32143386735,Processed,8,3,InPerson,1,,,,Excel,3,Mon,LS,,
27/03/2017,2017,1,UC,PYTHON101,31623620099_UC_PYTHON101,31623620099,Processed,10,5,InPerson,1,,,,Python,3,Mon,LS,,
29/05/2017,2017,2,UC,UNIX101,31623759516_UC_UNIX101,31623759516,Processed,9,0,InPerson,0.5,,,,Unix,5,Mon,"JM, WF",,
31/05/2017,2017,2,UC,REGEX201,31623735444_UC_REGEX201,31623735444,Processed,6,5,InPerson,0.5,,,,Regular Expressions,5,Wed,WC,,
31/05/2017,2017,2,UC,GIT101,31623646177_UC_GIT101,31623646177,Processed,9,4,InPerson,0.5,,,,Git,5,Wed,WC,,
15/06/2017,2017,2,UC,EXCEL101,31623792615_UC_EXCEL101,31623792615,Processed,10,5,InPerson,1,,,,Excel,6,Thu,IC,,
26/02/2018,2018,1,UC,EXCEL101,20180226T0900_UC_excel,42931892446,Processed,10,10,InPerson,1,10,,,Excel,2,Mon,RF,,
28/02/2018,2018,1,UC,REFINE101,20180228T1300_UC_or,42932104079,Processed,6,4,InPerson,0.5,6,,,Open Refine,2,Wed,RF,,
16/04/2018,2018,2,UC,R101,20180416T0900_UC_r,43861173952,Processed,28,18,InPerson,1,28,,,R,4,Mon,"CA, RF",,
