Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool
1/02/2016,2016,1,USYD,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
2/02/2016,2016,1,USYD,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
3/02/2016,2016,1,ResBaz 2016,REFINE101,20853623750_ResBaz 2016_REFINE101,20853623750,Processed,10,5,InPerson,0.5,,,,Open Refine
3/02/2016,2016,1,ResBaz 2016,REGEX101,20853648825_ResBaz 2016_REGEX101,20853648825,Processed,12,7,InPerson,0.5,,,,Regular Expressions
3/02/2016,2016,1,USYD,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
3/02/2016,2016,1,USYD,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
9/02/2016,2016,1,UON,REGEX101,20847915677_UON_REGEX101,20847915677,Processed,26,19,InPerson,0.5,,,,Regular Expressions
10/02/2016,2016,1,UON,EXCEL101,20848298823_UON_EXCEL101,20848298823,Processed,30,25,InPerson,1,,,,Excel
11/02/2016,2016,1,UON,REFINE101,20848401129_UON_REFINE101,20848401129,Processed,22,15,InPerson,0.5,,,,Open Refine
11/02/2016,2016,1,UON,GFT101,20850560588_UON_GFT101,20850560588,Processed,28,12,InPerson,0.5,,,,Google Fusion Tables
22/02/2016,2016,2,SCU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
23/02/2016,2016,2,SCU,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT
23/02/2016,2016,1,USYD,PYTHON101,,21071753181,Processed,29,13,InPerson,1,,,,Python
15/03/2016,2016,1,ACU,RDMT001,21419841322_ACU_RDMT001,21419841322,Processed,39,23,InPerson,0.5,,,,RDMT
17/03/2016,2016,1,UNE,EXCEL101,21536114097_UNE_EXCEL101,21536114097,Processed,13,8,InPerson,1,,,,Excel
18/03/2016,2016,1,UC,PYTHON101,22431045862_UC_PYTHON101,22431045862,Processed,0,0,InPerson,1,,,,Python
30/03/2016,2016,1,UNSW,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
31/03/2016,2016,1,UNSW,RDMT001,,,Processed,,,InPerson,0.5,,,,RDMT
31/03/2016,2016,1,UNSW,SC101,,,Processed,,,InPerson,2,,,,Software Carpentry
5/04/2016,2016,2,UON,EXCEL101,22140026415_UON_EXCEL101,22140026415,Processed,27,27,InPerson,1,,,,Excel
6/04/2016,2016,2,UON,SC101,22143050460_UON_SC101,22143050460,Processed,27,22,InPerson,2,,,,Software Carpentry
8/04/2016,2016,2,UON,UNIX101,22140321297_UON_UNIX101,22140321297,Processed,22,16,InPerson,0.5,,,,Unix
11/04/2016,2016,2,WSU,UNIX101,22437215315_WSU_UNIX101,22437215315,Processed,10,5,InPerson,0.5,,,,Unix
12/04/2016,2016,2,UTS,SC101,24249514952_UTS_SC101,24249514952,Processed,24,21,InPerson,2,,,,Software Carpentry
13/04/2016,2016,2,WSU,EXCEL101,22677877141_WSU_EXCEL101,22677877141,Processed,9,6,InPerson,1,,,,Excel
18/04/2016,2016,2,USYD,SC101,23368724484_USYD_SC101,23368724484,Processed,22,18,InPerson,2,,,,Software Carpentry
19/04/2016,2016,2,ACU,EXCEL101,24247371541_ACU_EXCEL101,24247371541,Processed,13,11,InPerson,1,,,,Excel
20/04/2016,2016,2,ACU,EXCEL101,24247576153_ACU_EXCEL101,24247576153,Processed,10,8,InPerson,1,,,,Excel
20/04/2016,2016,2,WSU,RDMT001,22669456956_WSU_RDMT001,22669456956,Processed,9,8,InPerson,0.5,,,,RDMT
22/04/2016,2016,2,WSU,GFT101,22677930300_WSU_GFT101,22677930300,Processed,19,12,InPerson,0.5,,,,Google Fusion Tables
22/04/2016,2016,2,WSU,RDMT001,22677927291_WSU_RDMT001,22677927291,Processed,22,13,InPerson,0.5,,,,RDMT
22/04/2016,2016,2,WSU,REGEX101,22677924282_WSU_REGEX101,22677924282,Processed,12,8,InPerson,0.5,,,,Regular Expressions
26/04/2016,2016,2,UTS,EXCEL101,24503325105_UTS_EXCEL101,24503325105,Processed,12,8,InPerson,1,,,,Excel
27/04/2016,2016,2,UTS,EXCEL101,24503331123_UTS_EXCEL101,24503331123,Processed,15,10,InPerson,1,,,,Excel
28/04/2016,2016,2,UTS,REFINE101,24503337141_UTS_REFINE101,24503337141,Processed,15,8,InPerson,0.5,,,,Open Refine
28/04/2016,2016,2,UTS,GFT101,24503334132_UTS_GFT101,24503334132,Processed,21,11,InPerson,0.5,,,,Google Fusion Tables
2/05/2016,2016,2,WSU,EXCEL101,22678103819_WSU_EXCEL101,22678103819,Processed,16,10,InPerson,1,,,,Excel
4/05/2016,2016,2,UNSW,GFT101,,,Processed,,,InPerson,0.5,,,,Google Fusion Tables
11/05/2016,2016,2,WSU,RDMT001,24247857996_WSU_RDMT001,24247857996,Processed,14,12,InPerson,0.5,,,,RDMT
11/05/2016,2016,2,UNSW,REFINE101,,,Processed,,,InPerson,0.5,,,,Open Refine
12/05/2016,2016,2,USYD,PYTHON101,24728581854_USYD_PYTHON101,24728581854,Processed,19,17,InPerson,1,,,,Python
13/05/2016,2016,2,UNE,REGEX101,22435974604_UNE_REGEX101,22435974604,Processed,6,6,InPerson,0.5,,,,Regular Expressions
18/05/2016,2016,2,USYD,GIT101,24728627992_USYD_GIT101,24728627992,Processed,20,17,InPerson,0.5,,,,Git
19/05/2016,2016,2,UNE,EXCEL101,22432065913_UNE_EXCEL101,22432065913,Processed,9,6,InPerson,1,,,,Excel
20/05/2016,2016,2,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
26/05/2016,2016,2,USYD,REGEX101,24728621974_USYD_REGEX101,24728621974,Processed,18,15,InPerson,0.5,,,,Regular Expressions
27/05/2016,2016,2,UNSW,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
1/06/2016,2016,2,ACU,GFT101,24944347214_ACU_GFT101,24944347214,Processed,9,7,InPerson,0.5,,,,Google Fusion Tables
1/06/2016,2016,2,ACU,REFINE101,24944453532_ACU_REFINE101,24944453532,Processed,9,7,InPerson,0.5,,,,Open Refine
2/06/2016,2016,2,ACU,GFT101,24944848714_ACU_GFT101,24944848714,Processed,10,9,InPerson,0.5,,,,Google Fusion Tables
2/06/2016,2016,2,ACU,REFINE101,24944561856_ACU_REFINE101,24944561856,Processed,4,3,InPerson,0.5,,,,Open Refine
6/06/2016,2016,2,LTU,REGEX101,,,Processed,,,InPerson,0.5,,,,Regular Expressions
14/06/2016,2016,2,LTU,EXCEL101,,,Processed,,,InPerson,1,,,,Excel
20/06/2016,2016,2,UNE,EXCEL101,25898210244_UNE_EXCEL101,25898210244,Processed,8,8,InPerson,1,,,,Excel
20/06/2016,2016,2,,,,25557434976,Processed,14,11,InPerson,1,,,,
21/06/2016,2016,2,UTS,EXCEL101,25364853961_UTS_EXCEL101,25364853961,Processed,3,3,InPerson,1,,,,Excel
21/06/2016,2016,2,LTU,UNIX101,,,Processed,,,InPerson,0.5,,,,Unix
21/06/2016,2016,2,LTU,GIT101,,,Processed,,,InPerson,0.5,,,,Git
22/06/2016,2016,2,LTU,PYTHON101,,,Processed,,,InPerson,1,,,,Python
23/06/2016,2016,2,UTS,REFINE101,25365039516_UTS_REFINE101,25365039516,Processed,4,2,InPerson,0.5,,,,Open Refine
23/06/2016,2016,2,UTS,GFT101,25365031492_UTS_GFT101,25365031492,Processed,5,3,InPerson,0.5,,,,Google Fusion Tables
