uni,Member,Uni_short,institution
Australian Catholic University,ACU,ACU,ACU
Australian National University,,ANU,ANU
Bendigo Health,,,Bendigo
Charles Sturt University,CSU,CSU,CSU
Deakin University,Deakin,Deakin,Deakin
DST Group,,,DSTGroup
HNE Population Health,,,HNEPop
Intersect Australia,Intersect,,Intersect
La Trobe University,LTU,LTU,LTU
National Computational Infrastructure (NCI),NCI,NCI,NCI
NSW Department of Planning and Environment,DPE,,DPE
Open,Open,Open,Open
QCIF,QCIF,,QCIF
RMIT University,,,RMIT
Southern Cross University,SCU,SCU,SCU
Swinburne,Swinburne,,Swinburne
The George Institute for Global Health,,,GeorgeInstitute
The University of Melbourne,,,UOM
The University of Queensland,,,UQ
"The University of Queensland, Australia",,,UQ
The University of Sydney,USYD,USYD,USYD
University of Adelaide,UOA,UOA,UOA
University of Canberra,UC,UC,UC
University of New England,UNE,UNE,UNE
University of New South Wales,UNSW,UNSW,UNSW
University of Newcastle,UON,UON,UON
University of South Australia,UniSA,UniSA,UniSA
"University of Technology, Sydney",UTS,UTS,UTS
Western Sydney University,WSU,WSU,WSU
x,x,x,x
ResBaz2016,ResBaz2016,,ResBaz2016
